id,Gender,Age,purpose_of_travel,Type of Travel,Type Of Booking,Hotel wifi service,Departure/Arrival  convenience,Ease of Online booking,Hotel location,Food and drink,Stay comfort,Common Room entertainment,Checkin/Checkout service,Other service,Cleanliness,satisfaction,AverageRating
96462,Female,52,aviation,Group Travel,Group bookings,4,3,4,4,5,5,5,4,5,4,satisfied,4.3
70354,Female,45,academic,Group Travel,Group bookings,4,4,4,4,3,5,5,3,5,4,satisfied,4.1
114090,Female,58,tourism,Personal Travel,Individual/Couple,4,5,4,5,4,4,4,2,4,2,neutral or dissatisfied,4.0
102956,Male,57,personal,Personal Travel,Individual/Couple,4,4,4,1,5,5,5,4,5,5,neutral or dissatisfied,4.1
48492,Female,31,personal,Group Travel,Group bookings,4,4,4,4,5,5,5,1,5,5,satisfied,4.1
30089,Female,67,academic,Personal Travel,Individual/Couple,4,5,4,1,2,5,5,5,5,5,neutral or dissatisfied,4.0
64138,Male,39,tourism,Group Travel,Group bookings,4,4,4,4,3,5,4,4,4,3,satisfied,4.0
1050,Female,69,tourism,Group Travel,Individual/Couple,5,5,5,5,1,3,5,4,5,2,satisfied,4.2
126625,Male,40,tourism,Group Travel,Group bookings,5,5,5,5,2,5,5,3,5,4,satisfied,4.4
57165,Female,59,academic,Group Travel,Group bookings,5,5,5,5,2,4,4,3,4,4,satisfied,4.1
61033,Female,53,academic,Group Travel,Group bookings,4,4,4,4,3,5,5,4,5,5,satisfied,4.2
123589,Female,39,tourism,Personal Travel,Individual/Couple,4,5,4,5,5,5,5,3,1,5,neutral or dissatisfied,4.1
72989,Male,19,aviation,Group Travel,Group bookings,5,5,5,5,4,4,4,5,4,4,satisfied,4.6
77591,Male,53,aviation,Group Travel,Group bookings,5,5,5,5,5,5,4,4,4,3,satisfied,4.7
56161,Male,45,aviation,Group Travel,Group bookings,5,5,5,5,2,5,4,3,4,5,satisfied,4.2
116004,Male,68,personal,Personal Travel,Individual/Couple,3,4,3,3,5,5,5,4,4,5,neutral or dissatisfied,4.0
105708,Female,42,personal,Group Travel,Group bookings,5,5,5,5,4,5,2,5,2,3,satisfied,4.2
8346,Female,50,aviation,Group Travel,Group bookings,4,4,4,4,2,5,5,4,5,3,satisfied,4.1
31698,Male,24,academic,Group Travel,Individual/Couple,3,4,4,4,5,5,5,2,4,5,neutral or dissatisfied,4.0
30704,Female,26,tourism,Group Travel,Not defined,5,5,5,5,5,5,5,1,3,5,satisfied,4.3
101275,Male,52,academic,Group Travel,Group bookings,5,5,5,5,2,5,4,5,4,5,satisfied,4.4
114039,Female,45,business,Group Travel,Group bookings,5,5,5,5,5,5,5,3,5,4,satisfied,4.8
66800,Female,43,business,Group Travel,Group bookings,5,5,5,5,5,4,5,5,5,3,satisfied,4.9
85879,Female,19,business,Group Travel,Group bookings,5,5,5,5,4,4,4,4,4,4,satisfied,4.4
31631,Female,28,personal,Group Travel,Group bookings,5,5,5,5,5,5,5,1,2,5,satisfied,4.2
111817,Female,38,tourism,Group Travel,Group bookings,3,3,3,5,4,4,4,5,5,4,neutral or dissatisfied,4.0
18128,Male,23,academic,Group Travel,Group bookings,5,5,5,5,5,3,5,3,3,5,satisfied,4.3
31358,Female,34,tourism,Group Travel,Group bookings,5,5,5,5,1,5,5,5,5,5,satisfied,4.6
28135,Male,45,academic,Group Travel,Individual/Couple,4,2,4,4,4,4,4,5,5,4,satisfied,4.0
115031,Female,37,personal,Group Travel,Group bookings,5,5,5,4,4,4,4,3,4,4,satisfied,4.2
2201,Male,52,personal,Personal Travel,Individual/Couple,4,4,4,5,4,4,4,5,4,4,satisfied,4.2
53687,Male,36,business,Group Travel,Individual/Couple,4,5,5,5,4,4,4,2,3,4,satisfied,4.0
663,Female,45,business,Group Travel,Group bookings,4,4,4,4,3,5,4,5,4,5,satisfied,4.1
47795,Male,42,academic,Group Travel,Group bookings,5,5,5,5,5,4,4,4,4,3,satisfied,4.6
125451,Female,52,business,Group Travel,Group bookings,5,5,5,5,5,5,3,5,3,5,satisfied,4.6
96114,Male,50,aviation,Group Travel,Group bookings,5,5,5,5,3,4,5,4,5,3,satisfied,4.6
100136,Male,37,tourism,Group Travel,Group bookings,4,4,4,4,4,4,4,4,5,4,satisfied,4.1
121855,Female,52,business,Group Travel,Group bookings,5,5,5,5,5,4,5,4,5,3,satisfied,4.8
16505,Male,16,business,Personal Travel,Individual/Couple,2,5,2,3,5,5,5,5,4,5,neutral or dissatisfied,4.0
17379,Female,44,tourism,Group Travel,Group bookings,5,5,5,5,5,3,5,2,5,3,satisfied,4.4
89581,Male,43,academic,Group Travel,Individual/Couple,4,4,4,4,5,5,5,3,3,5,neutral or dissatisfied,4.1
